country,iso_code,Wealth,year,comp_prim_v2_m,comp_lowsec_v2_m,comp_upsec_v2_m,eduyears_2024_m,edu2_2024_m,edu4_2024_m,eduout_prim_m,eduout_lowsec_m,eduout_upsec_m,eduyears_2024_no,edu2_2024_no,edu4_2024_no,eduout_prim_no,eduout_lowsec_no,eduout_upsec_no,edu0_prim_m,trans_prim_m,trans_lowsec_m,attend_higher_1822_m,overage2plus_m
Ireland,IRL,Quintile 2,2000,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,Quintile 3,2000,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,Quintile 4,2000,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,Quintile 5,2000,,,,,,,,,,,,,,,,,,,,
Israel,ISR,Quintile 1,2000,,,,,,,,,,,,,,,,,,,,
Israel,ISR,Quintile 2,2000,,,,,,,,,,,,,,,,,,,,
Israel,ISR,Quintile 3,2000,,,,,,,,,,,,,,,,,,,,
Israel,ISR,Quintile 4,2000,,,,,,,,,,,,,,,,,,,,
Israel,ISR,Quintile 5,2000,,,,,,,,,,,,,,,,,,,,
Italy,ITA,Quintile 1,2000,,,,,,,,,,,,,,,,,,,,
Italy,ITA,Quintile 2,2000,,,,,,,,,,,,,,,,,,,,
Italy,ITA,Quintile 3,2000,,,,,,,,,,,,,,,,,,,,
Italy,ITA,Quintile 4,2000,,,,,,,,,,,,,,,,,,,,
Italy,ITA,Quintile 5,2000,,,,,,,,,,,,,,,,,,,,
Kenya,KEN,Quintile 1,2000,0.4061,0.2246,0.0662,,0.0105,0.05989,,,,182.85,182.85,182.85,,,,,,,,
Kenya,KEN,Quintile 2,2000,0.5735,0.3516,0.1456,,0.00737619,0.036814286,,,,186.8571429,186.8571429,186.8571429,,,,,,,,
Kenya,KEN,Quintile 3,2000,0.665,0.3864,0.1762,,0.008975,0.044883333,,,,148.3333333,148.3333333,148.3333333,,,,,,,,
Kenya,KEN,Quintile 4,2000,0.7736,0.5613,0.3106,,0.003688462,0.027088462,,,,137.9230769,137.9230769,137.9230769,,,,,,,,
Kenya,KEN,Quintile 5,2000,0.8093,0.7242,0.4962,,0.009247619,0.01587619,,,,138.6190476,138.6190476,138.6190476,,,,,,,,
Lao PDR,LAO,Quintile 1,2000,0.2414,0.0669,0.0348,,0.046253846,0.3647,,,,127.4615385,127.4615385,127.4615385,,,,,,,,
Lao PDR,LAO,Quintile 2,2000,0.4296,0.2395,0.1011,,0.044005556,0.242583333,,,,119,119,119,,,,,,,,
Lao PDR,LAO,Quintile 3,2000,0.5782,0.3632,0.1495,,0.024866667,0.192622222,,,,142.3333333,142.3333333,142.3333333,,,,,,,,
Lao PDR,LAO,Quintile 4,2000,0.6108,0.36,0.1558,,0.022372222,0.170611111,,,,153.3333333,153.3333333,153.3333333,,,,,,,,
Lao PDR,LAO,Quintile 5,2000,0.679,0.3233,0.1541,,0.03243125,0.17993125,,,,171.75,171.75,171.75,,,,,,,,
Latvia,LVA,Quintile 1,2000,,,,,,,,,,,,,,,,,,,,
Latvia,LVA,Quintile 2,2000,,,,,,,,,,,,,,,,,,,,
Latvia,LVA,Quintile 3,2000,,,,,,,,,,,,,,,,,,,,
Latvia,LVA,Quintile 4,2000,,,,,,,,,,,,,,,,,,,,
Latvia,LVA,Quintile 5,2000,,,,,,,,,,,,,,,,,,,,
Lesotho,LSO,Quintile 1,2000,,,,,,,,,,,,,,,,,,,,
Lesotho,LSO,Quintile 2,2000,,,,,,,,,,,,,,,,,,,,
Lesotho,LSO,Quintile 3,2000,,,,,,,,,,,,,,,,,,,,
Lesotho,LSO,Quintile 4,2000,,,,,,,,,,,,,,,,,,,,
Lesotho,LSO,Quintile 5,2000,,,,,,,,,,,,,,,,,,,,
Luxembourg,LUX,Quintile 1,2000,,,,,,,,,,,,,,,,,,,,
